date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:22	182/182	---M--	200	added ('OK')	text/plain	etag:%22b6-687204fd-d98927ffa8b90d9f;;;%22	https://digxbit.xyz/robots.txt		(from )
00:45:23	21372/21372	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:15:23%20GMT	https://digxbit.xyz/	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/index.html	(from )
00:45:24	104798/104798	---M-Z	200	added ('OK')	text/css	etag:%221995e-687204fd-992c8218ffa564d8;gz%22	https://digxbit.xyz/styles.css	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/styles.css	(from https://digxbit.xyz/)
00:45:25	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15283%22	http://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/My%20Web%20Sites/efewfwe/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://digxbit.xyz/)
00:45:25	12076/12076	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ece-2f2c%22	http://cdnjs.cloudflare.com/ajax/libs/jstimezonedetect/1.0.6/jstz.min.js	C:/My%20Web%20Sites/efewfwe/cdnjs.cloudflare.com/ajax/libs/jstimezonedetect/1.0.6/jstz.min.js	(from https://digxbit.xyz/)
00:45:26	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68416ca6-9f1e2893617a9d58;gz%22	https://digxbit.xyz/GET	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/GET	(from https://digxbit.xyz/)
00:45:27	200137/200137	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec2-30dc9%22	http://cdnjs.cloudflare.com/ajax/libs/jquery-mobile/1.4.5/jquery.mobile.min.js	C:/My%20Web%20Sites/efewfwe/cdnjs.cloudflare.com/ajax/libs/jquery-mobile/1.4.5/jquery.mobile.min.js	(from https://digxbit.xyz/)
00:45:28	10297/10297	---M-Z	200	added ('OK')	text/html	etag:%222839-687204fd-933c2b1c59930b68;gz%22	https://digxbit.xyz/themelist0.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/themelist0.html	(from https://digxbit.xyz/)
00:45:28	213752/213752	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:28%20GMT	https://digxbit.xyz/img/photo16347166994964892993ccb45.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo16347166994964892993ccb45.jpg	(from https://digxbit.xyz/)
00:45:29	204772/204772	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:30%20GMT	https://digxbit.xyz/img/photo1724754609244cfd33d1dfaa4.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo1724754609244cfd33d1dfaa4.jpg	(from https://digxbit.xyz/)
00:45:30	218991/218991	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:31%20GMT	https://digxbit.xyz/img/photo172850311797234b6f67f60af.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo172850311797234b6f67f60af.jpg	(from https://digxbit.xyz/)
00:45:31	127194/127194	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:32%20GMT	https://digxbit.xyz/img/photo14508978891378a0b15a4c945.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo14508978891378a0b15a4c945.jpg	(from https://digxbit.xyz/)
00:45:33	212166/212166	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:33%20GMT	https://digxbit.xyz/img/photo1517055729445fa7d27394b48.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo1517055729445fa7d27394b48.jpg	(from https://digxbit.xyz/)
00:45:33	61928/61928	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:34%20GMT	https://digxbit.xyz/img/photo1632327536020bb18937415dc.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo1632327536020bb18937415dc.jpg	(from https://digxbit.xyz/)
00:45:34	91274/91274	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:35%20GMT	https://digxbit.xyz/img/photo1646367907840d2cd763e4614.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo1646367907840d2cd763e4614.jpg	(from https://digxbit.xyz/)
00:45:35	97728/97728	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:36%20GMT	https://digxbit.xyz/img/photo16856602515897451fbe5a293.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo16856602515897451fbe5a293.jpg	(from https://digxbit.xyz/)
00:45:36	130339/130339	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:37%20GMT	https://digxbit.xyz/img/photo15216619784585a2bec6b6e09.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo15216619784585a2bec6b6e09.jpg	(from https://digxbit.xyz/)
00:45:37	264287/264287	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:38%20GMT	https://digxbit.xyz/img/photo150738381806899a47c9aa03c.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo150738381806899a47c9aa03c.jpg	(from https://digxbit.xyz/)
00:45:38	12529/12529	---M-Z	200	added ('OK')	text/html	etag:%2230f1-687204fd-a1df87ee64ce365;gz%22	https://digxbit.xyz/themelist1.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/themelist1.html	(from https://digxbit.xyz/)
00:45:38	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68416ca6-9f1e2893617a9d58;gz%22	https://digxbit.xyz/index.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/index-2.html	(from https://digxbit.xyz/)
00:45:39	320017/320017	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:40%20GMT	https://digxbit.xyz/img/photo150062732108919f8ec7b3038.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo150062732108919f8ec7b3038.jpg	(from https://digxbit.xyz/)
00:45:40	20296/20296	---M-Z	200	added ('OK')	text/html	etag:%224f48-687204fd-c61829f942f57460;gz%22	https://digxbit.xyz/themelist2.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/themelist2.html	(from https://digxbit.xyz/)
